INFO  - 2016-06-09 15:23:08.206; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2016-06-09 15:23:08.216; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - 2016-06-09 15:23:08.216; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2016-06-09 15:23:08.216; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2016-06-09 15:23:08.216; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2016-06-09 15:23:08.216; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2016-06-09 15:23:08.216; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2016-06-09 15:23:08.216; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2016-06-09 15:23:08.216; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2016-06-09 15:23:08.216; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2016-06-09 15:23:08.226; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2016-06-09 15:23:08.226; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2016-06-09 15:23:08.226; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2016-06-09 15:23:08.226; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-06-09 15:23:08.226; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-06-09 15:23:08.226; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2016-06-09 15:23:08.226; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
